Postcode,Long,Lat,SA3,SA4,SA1,SA2,0–4,5–11,12–15,16–19,20–24,25–29,30–34,35–39,40–44,45–49,50–54,55–59,60–64,65–69,70–74,75–79,80–84,85 and over,Total
200,149.119,-35.2777,,,80105104901,801051049,,,,,,,,,,,,,,,,,,,
200,149.1189,-35.2777,,,80105104901,801051049,,,,,,,,,,,,,,,,,,,
800,130.83668,-12.458684,70101,701,70101100218,701011002,,,,,,,,,,,,,,,,,,,
801,130.83668,-12.458684,70101,701,70101100208,701011002,,,,,,,,,,,,,,,,,,,
804,130.873315,-12.428017,70102,701,70101100704,701011007,,,,,,,,,,,,,,,,,,,
810,130.866242,-12.381806,70102,701,70102101001,701021010,,,,,,,,,,,,,,,,,,,
810,130.866242,-12.381806,70102,701,70102101301,701021013,,,,,,,,,,,,,,,,,,,
810,130.866242,-12.381806,70102,701,70102101307,701021013,,,,,,,,,,,,,,,,,,,
810,130.8502369,-12.39614166,70102,701,70102101604,701021016,,,,,,,,,,,,,,,,,,,
810,130.866242,-12.381806,70102,701,70102101804,701021018,,,,,,,,,,,,,,,,,,,
810,130.866242,-12.381806,70102,701,70102102103,701021021,,,,,,,,,,,,,,,,,,,
810,130.8885151,-12.35911956,70102,701,70102102105,701021021,,,,,,,,,,,,,,,,,,,
810,130.866242,-12.381806,70102,701,70102102303,701021023,,,,,,,,,,,,,,,,,,,
810,130.866242,-12.381806,70102,701,70102102403,701021024,,,,,,,,,,,,,,,,,,,
810,130.8959029,-12.35811947,70102,701,70102102113,701021021,,,,,,,,,,,,,,,,,,,
810,130.866242,-12.381806,70102,701,70102101303,701021013,,,,,,,,,,,,,,,,,,,
810,130.866242,-12.381806,70102,701,70102102509,701021025,,,,,,,,,,,,,,,,,,,
810,130.866242,-12.381806,70102,701,70102102607,701021026,,,,,,,,,,,,,,,,,,,
810,130.866242,-12.381806,70102,701,70102102702,701021027,,,,,,,,,,,,,,,,,,,
810,130.866242,-12.381806,70102,701,70102102801,701021028,,,,,,,,,,,,,,,,,,,
810,130.866242,-12.381806,70102,701,70102102903,701021029,,,,,,,,,,,,,,,,,,,
